Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart False,Smart True,Fraction,Sum Smart
50,1,False,False,79,84,1.0632911392405062,163
50,1,True,True,91,95,1.043956043956044,186
50,2,True,True,76,77,1.013157894736842,153
50,3,False,False,74,88,1.1891891891891893,162
50,3,True,False,72,75,1.0416666666666667,147
50,4,False,True,102,114,1.1176470588235294,216
50,4,True,True,77,80,1.0389610389610389,157
100,0,True,False,78,109,1.3974358974358974,187
100,1,False,False,79,80,1.0126582278481013,159
100,1,True,False,96,107,1.1145833333333333,203
100,1,True,True,94,96,1.0212765957446808,190
100,2,False,False,72,85,1.1805555555555556,157
100,2,False,True,117,131,1.1196581196581197,248
100,2,True,False,91,99,1.0879120879120878,190
100,2,True,True,94,115,1.2234042553191489,209
100,3,False,True,121,140,1.1570247933884297,261
100,3,True,True,74,105,1.4189189189189189,179
100,4,False,True,106,113,1.0660377358490567,219
100,4,True,False,93,98,1.053763440860215,191
150,1,False,True,56,62,1.1071428571428572,118
150,1,True,True,119,124,1.0420168067226891,243
150,2,True,False,108,127,1.1759259259259258,235
150,3,False,True,124,140,1.1290322580645162,264
150,3,True,False,115,121,1.0521739130434782,236
150,3,True,True,109,129,1.18348623853211,238
150,4,False,True,107,116,1.0841121495327102,223
150,4,True,False,111,113,1.018018018018018,224
150,4,True,True,91,104,1.1428571428571428,195
200,0,True,False,121,135,1.115702479338843,256
200,1,True,False,123,131,1.065040650406504,254
200,2,True,False,127,142,1.1181102362204725,269
200,2,True,True,106,149,1.4056603773584906,255
200,3,False,False,78,83,1.064102564102564,161
200,3,True,False,128,135,1.0546875,263
200,3,True,True,122,135,1.1065573770491803,257
200,4,False,False,91,100,1.098901098901099,191
200,4,False,True,103,117,1.1359223300970873,220
200,4,True,False,129,143,1.1085271317829457,272
200,4,True,True,107,108,1.0093457943925233,215
250,0,True,False,128,137,1.0703125,265
250,1,False,False,73,79,1.082191780821918,152
250,1,True,False,125,161,1.288,286
250,1,True,True,127,135,1.062992125984252,262
250,2,False,False,87,90,1.0344827586206897,177
250,2,True,True,122,135,1.1065573770491803,257
250,3,False,False,73,91,1.2465753424657535,164
250,3,True,False,149,174,1.167785234899329,323
250,4,False,True,112,124,1.1071428571428572,236
250,4,True,True,88,106,1.2045454545454546,194
300,0,False,False,74,81,1.0945945945945945,155
300,0,True,False,138,145,1.0507246376811594,283
300,2,False,True,123,124,1.008130081300813,247
300,2,True,True,145,147,1.013793103448276,292
300,3,True,False,133,135,1.0150375939849625,268
300,3,True,True,118,130,1.1016949152542372,248
300,4,False,False,76,82,1.0789473684210527,158
300,4,True,True,103,106,1.029126213592233,209
350,0,False,False,74,88,1.1891891891891893,162
350,0,True,False,134,155,1.1567164179104477,289
350,0,True,True,133,138,1.037593984962406,271
350,1,False,False,86,88,1.0232558139534884,174
350,1,False,True,52,60,1.1538461538461537,112
350,2,False,False,78,90,1.1538461538461537,168
350,2,True,False,156,159,1.0192307692307692,315
350,3,False,False,68,88,1.2941176470588236,156
350,3,True,True,135,141,1.0444444444444445,276
350,4,False,False,74,83,1.1216216216216217,157
350,4,False,True,100,115,1.15,215
400,0,False,False,73,74,1.0136986301369864,147
400,0,True,True,129,135,1.0465116279069768,264
400,2,False,True,119,130,1.0924369747899159,249
400,2,True,False,126,149,1.1825396825396826,275
400,2,True,True,126,146,1.1587301587301588,272
400,3,False,False,76,96,1.263157894736842,172
400,3,False,True,117,133,1.1367521367521367,250
400,3,True,False,128,133,1.0390625,261
400,3,True,True,126,128,1.0158730158730158,254
400,4,False,True,90,114,1.2666666666666666,204
450,1,False,False,79,83,1.0506329113924051,162
450,1,True,False,118,137,1.1610169491525424,255
450,2,False,True,111,115,1.0360360360360361,226
450,2,True,True,146,148,1.0136986301369864,294
450,3,True,True,116,130,1.1206896551724137,246
450,4,False,False,78,83,1.064102564102564,161
450,4,False,True,104,118,1.1346153846153846,222
450,4,True,True,105,120,1.1428571428571428,225
500,0,False,False,82,90,1.0975609756097562,172
500,0,True,True,120,132,1.1,252
500,1,False,True,56,57,1.0178571428571428,113
500,1,True,True,125,137,1.096,262
500,2,False,False,74,81,1.0945945945945945,155
500,2,False,True,134,136,1.0149253731343284,270
500,2,True,True,141,164,1.1631205673758864,305
500,3,False,False,75,82,1.0933333333333333,157
500,3,True,False,128,134,1.046875,262
500,3,True,True,113,118,1.0442477876106195,231
500,4,False,False,79,84,1.0632911392405062,163
500,4,True,False,110,115,1.0454545454545454,225
550,1,False,False,82,90,1.0975609756097562,172
550,1,False,True,56,59,1.0535714285714286,115
550,1,True,False,111,122,1.0990990990990992,233
550,2,False,True,128,138,1.078125,266
550,2,True,False,102,122,1.196078431372549,224
550,2,True,True,149,157,1.0536912751677852,306
550,3,False,False,66,84,1.2727272727272727,150
550,3,False,True,124,125,1.0080645161290323,249
550,3,True,False,108,121,1.1203703703703705,229
550,4,False,True,107,118,1.102803738317757,225
550,4,True,True,92,109,1.184782608695652,201
600,0,True,False,111,120,1.0810810810810811,231
600,0,True,True,104,119,1.1442307692307692,223
600,2,False,False,69,77,1.1159420289855073,146
600,2,True,True,146,152,1.0410958904109588,298
600,3,True,True,132,145,1.0984848484848484,277
600,4,True,False,114,118,1.0350877192982457,232
650,1,True,False,109,125,1.146788990825688,234
650,2,False,False,74,90,1.2162162162162162,164
650,3,False,False,86,90,1.0465116279069768,176
650,3,False,True,118,121,1.0254237288135593,239
650,4,False,False,70,74,1.0571428571428572,144
650,4,True,True,104,106,1.0192307692307692,210
700,0,True,False,94,104,1.1063829787234043,198
700,1,False,False,84,86,1.0238095238095237,170
700,2,False,False,64,89,1.390625,153
700,2,True,True,132,157,1.1893939393939394,289
700,3,False,False,71,86,1.2112676056338028,157
700,3,False,True,123,132,1.0731707317073171,255
700,3,True,False,108,111,1.0277777777777777,219
700,4,False,False,89,92,1.0337078651685394,181
750,0,False,False,90,96,1.0666666666666667,186
750,0,True,False,105,106,1.0095238095238095,211
750,1,False,True,42,48,1.1428571428571428,90
750,3,True,True,125,142,1.136,267
750,4,False,False,82,83,1.0121951219512195,165
750,4,False,True,99,104,1.0505050505050506,203
750,4,True,True,102,103,1.0098039215686274,205
800,1,False,False,87,90,1.0344827586206897,177
800,1,False,True,56,62,1.1071428571428572,118
800,1,True,False,88,101,1.1477272727272727,189
800,2,False,True,114,117,1.0263157894736843,231
800,2,True,False,82,100,1.2195121951219512,182
800,3,False,False,80,86,1.075,166
800,3,True,True,132,149,1.128787878787879,281
800,4,False,False,82,90,1.0975609756097562,172
800,4,False,True,90,93,1.0333333333333334,183
850,1,False,False,84,89,1.0595238095238095,173
850,1,True,False,86,99,1.1511627906976745,185
850,2,False,False,76,81,1.0657894736842106,157
850,2,False,True,115,130,1.1304347826086956,245
850,2,True,False,76,83,1.0921052631578947,159
850,2,True,True,138,155,1.1231884057971016,293
850,3,False,False,82,84,1.024390243902439,166
850,4,False,False,83,100,1.2048192771084338,183
850,4,False,True,109,123,1.128440366972477,232
850,4,True,False,87,92,1.0574712643678161,179
850,4,True,True,104,116,1.1153846153846154,220
900,0,True,False,83,89,1.072289156626506,172
900,1,True,True,117,124,1.0598290598290598,241
900,2,False,False,78,83,1.064102564102564,161
900,2,True,False,73,93,1.273972602739726,166
900,2,True,True,156,163,1.044871794871795,319
900,3,False,True,134,148,1.1044776119402986,282
900,4,False,False,74,82,1.1081081081081081,156
900,4,False,True,107,120,1.1214953271028036,227
900,4,True,True,109,120,1.1009174311926606,229
950,0,False,False,89,91,1.0224719101123596,180
950,1,True,False,84,85,1.0119047619047619,169
950,2,False,False,81,98,1.2098765432098766,179
950,2,True,False,70,83,1.1857142857142857,153
950,2,True,True,141,144,1.0212765957446808,285
950,3,False,False,69,92,1.3333333333333333,161
950,3,False,True,146,147,1.0068493150684932,293
950,4,False,True,92,95,1.0326086956521738,187
950,4,True,False,76,84,1.105263157894737,160
950,4,True,True,91,105,1.1538461538461537,196
1000,0,True,False,68,83,1.2205882352941178,151
1000,1,True,True,108,137,1.2685185185185186,245
1000,2,True,False,76,84,1.105263157894737,160
1000,3,False,False,82,99,1.2073170731707317,181
1000,3,False,True,127,150,1.1811023622047243,277
1000,4,False,True,108,118,1.0925925925925926,226
1000,4,True,False,64,74,1.15625,138
1000,4,True,True,89,106,1.1910112359550562,195
