Score,Number of Dice,Dice Roll,Used Dice,Reroll Dice
100,1,[1],1,0
0,1,[2],0,1
50,1,[5],1,0
200,2,"[1, 1]",2,0
100,2,"[1, 2]",1,1
150,2,"[1, 5]",2,0
0,2,"[2, 2]",0,2
50,2,"[2, 5]",1,1
300,3,"[1, 1, 1]",3,0
200,3,"[1, 1, 2]",2,1
250,3,"[1, 1, 5]",3,0
100,3,"[1, 2, 2]",1,2
150,3,"[1, 2, 5]",2,1
0,3,"[2, 2, 3]",0,3
50,3,"[2, 2, 5]",1,2
400,3,"[4, 4, 4]",3,0
500,3,"[5, 5, 5]",3,0
600,3,"[6, 6, 6]",3,0
1000,4,"[1, 1, 1, 1]",4,0
300,4,"[1, 1, 1, 2]",3,1
350,4,"[1, 1, 1, 5]",4,0
200,4,"[1, 1, 2, 2]",2,2
250,4,"[1, 1, 2, 5]",3,1
100,4,"[1, 2, 2, 3]",1,3
150,4,"[1, 2, 2, 5]",2,2
400,4,"[1, 3, 3, 3]",4,0
500,4,"[1, 4, 4, 4]",4,0
600,4,"[1, 5, 5, 5]",4,0
700,4,"[1, 6, 6, 6]",4,0
0,4,"[2, 2, 3, 3]",0,4
50,4,"[2, 2, 3, 5]",1,3
450,4,"[4, 4, 4, 5]",4,0
650,4,"[5, 6, 6, 6]",4,0
2000,5,"[1, 1, 1, 1, 1]",5,0
1000,5,"[1, 1, 1, 1, 2]",4,1
1050,5,"[1, 1, 1, 1, 5]",5,0
300,5,"[1, 1, 1, 2, 2]",3,2
350,5,"[1, 1, 1, 2, 5]",4,1
400,5,"[1, 1, 1, 5, 5]",5,0
200,5,"[1, 1, 2, 2, 3]",2,3
250,5,"[1, 1, 2, 2, 5]",3,2
500,5,"[1, 1, 3, 3, 3]",5,0
600,5,"[1, 1, 4, 4, 4]",5,0
700,5,"[1, 1, 5, 5, 5]",5,0
800,5,"[1, 1, 6, 6, 6]",5,0
1100,5,"[1, 2, 2, 2, 2]",5,0
100,5,"[1, 2, 2, 3, 3]",1,4
150,5,"[1, 2, 2, 3, 5]",2,3
450,5,"[1, 3, 3, 3, 5]",5,0
550,5,"[1, 4, 4, 4, 5]",5,0
750,5,"[1, 5, 6, 6, 6]",5,0
0,5,"[2, 2, 3, 3, 4]",0,5
50,5,"[2, 2, 3, 3, 5]",1,4
650,5,"[2, 5, 6, 6, 6]",4,1
3000,6,"[1, 1, 1, 1, 1, 1]",6,0
2000,6,"[1, 1, 1, 1, 1, 2]",5,1
2050,6,"[1, 1, 1, 1, 1, 5]",6,0
1500,6,"[1, 1, 1, 1, 5, 5]",6,0
1500,6,"[1, 1, 1, 1, 2, 2]",6,0
1000,6,"[1, 1, 1, 1, 2, 3]",4,2
1050,6,"[1, 1, 1, 1, 2, 5]",5,1
1100,6,"[2, 2, 2, 2, 1, 4]",5,1
2500,6,"[1, 1, 1, 2, 2, 2]",6,0
300,6,"[1, 1, 1, 2, 2, 3]",3,3
350,6,"[1, 1, 1, 2, 2, 5]",4,2
400,6,"[1, 1, 1, 2, 5, 5]",5,1
450,6,"[1, 1, 2, 2, 2, 5]",6,0
1500,6,"[1, 1, 2, 2, 3, 3]",6,0
200,6,"[1, 1, 2, 2, 3, 4]",2,4
250,6,"[1, 1, 2, 2, 3, 5]",3,3
500,6,"[1, 1, 2, 3, 3, 3]",5,1
600,6,"[1, 1, 2, 4, 4, 4]",5,1
700,6,"[1, 1, 2, 5, 5, 5]",5,1
800,6,"[1, 1, 2, 6, 6, 6]",5,1
550,6,"[1, 1, 3, 3, 3, 5]",6,0
650,6,"[1, 1, 4, 4, 4, 5]",6,0
850,6,"[1, 1, 5, 6, 6, 6]",6,0
2100,6,"[1, 2, 2, 2, 2, 2]",6,0
1150,6,"[1, 2, 2, 2, 2, 5]",6,0
100,6,"[1, 2, 2, 3, 3, 4]",1,5
150,6,"[1, 2, 2, 3, 3, 5]",2,4
750,6,"[1, 2, 5, 6, 6, 6]",5,1
50,6,"[2, 2, 3, 3, 4, 5]",1,5
0,6,"[2, 2, 3, 3, 4, 6]",0,6
