Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart,Score_Dice_Threshold_Interaction,Consider Score_x_Consider Dice,Consider Score_x_Smart,Consider Score_x_Consider Dice_x_Smart,Score Threshold_x_Consider Score,Score Threshold_x_Consider Score_x_Smart,Dice Threshold_x_Consider Dice_x_Smart
250,3,1,0,1,62.5,0,1,0,250,250,0
750,2,1,1,0,250.0,1,0,0,750,0,0
500,2,1,1,1,166.66666666666666,1,1,1,500,500,2
900,2,1,1,1,300.0,1,1,1,900,900,2
1000,2,1,1,0,333.3333333333333,1,0,0,1000,0,0
250,1,1,0,1,125.0,0,1,0,250,250,0
650,2,1,1,0,216.66666666666666,1,0,0,650,0,0
350,1,1,1,0,175.0,1,0,0,350,0,0
350,2,1,0,1,116.66666666666667,0,1,0,350,350,0
300,1,1,1,0,150.0,1,0,0,300,0,0
550,2,1,1,1,183.33333333333334,1,1,1,550,550,2
700,2,1,1,1,233.33333333333334,1,1,1,700,700,2
900,2,1,1,0,300.0,1,0,0,900,0,0
350,2,1,0,0,116.66666666666667,0,0,0,350,0,0
350,4,1,0,0,70.0,0,0,0,350,0,0
1000,2,1,1,1,333.3333333333333,1,1,1,1000,1000,2
850,2,1,1,1,283.3333333333333,1,1,1,850,850,2
350,0,1,0,1,350.0,0,1,0,350,350,0
300,4,1,0,0,60.0,0,0,0,300,0,0
300,0,1,1,0,300.0,1,0,0,300,0,0
350,1,1,1,1,175.0,1,1,1,350,350,1
600,2,1,1,1,200.0,1,1,1,600,600,2
350,2,1,1,0,116.66666666666667,1,0,0,350,0,0
1000,3,0,1,1,250.0,0,0,0,0,0,3
300,3,0,1,0,75.0,0,0,0,0,0,0
350,1,1,0,0,175.0,0,0,0,350,0,0
550,2,1,1,0,183.33333333333334,1,0,0,550,0,0
800,2,1,1,0,266.6666666666667,1,0,0,800,0,0
200,2,1,1,1,66.66666666666667,1,1,1,200,200,2
250,3,1,0,0,62.5,0,0,0,250,0,0
800,3,1,1,1,200.0,1,1,1,800,800,3
300,1,1,0,0,150.0,0,0,0,300,0,0
400,2,1,0,1,133.33333333333334,0,1,0,400,400,0
900,3,0,1,1,225.0,0,0,0,0,0,3
450,2,1,1,1,150.0,1,1,1,450,450,2
650,1,1,1,0,325.0,1,0,0,650,0,0
450,1,1,1,0,225.0,1,0,0,450,0,0
450,3,0,1,0,112.5,0,0,0,0,0,0
950,3,0,1,1,237.5,0,0,0,0,0,3
800,3,0,1,0,200.0,0,0,0,0,0,0
300,1,1,1,1,150.0,1,1,1,300,300,1
300,2,1,1,1,100.0,1,1,1,300,300,2
600,2,1,1,0,200.0,1,0,0,600,0,0
450,2,1,1,0,150.0,1,0,0,450,0,0
400,2,1,1,1,133.33333333333334,1,1,1,400,400,2
900,3,1,1,0,225.0,1,0,0,900,0,0
950,3,0,1,0,237.5,0,0,0,0,0,0
300,2,1,1,0,100.0,1,0,0,300,0,0
900,2,0,1,0,300.0,0,0,0,0,0,0
750,2,1,1,1,250.0,1,1,1,750,750,2
